"punt_global","cole_depto_ubicacion"
"177","META"
"177","META"
"337","BOLIVAR"
"200","ANTIOQUIA"
"200","ANTIOQUIA"
"168","CAUCA"
"168","CAUCA"
"233","BOGOTÁ"
"233","BOGOTÁ"
"228","VALLE"
"228","VALLE"
"240","SANTANDER"
"240","SANTANDER"
"270","CALDAS"
"270","CALDAS"
"274","CAQUETA"
"274","CAQUETA"
"228","CORDOBA"
"228","CORDOBA"
"290","CORDOBA"
"290","CORDOBA"
"325","CUNDINAMARCA"
"325","CUNDINAMARCA"
"217","ARAUCA"
"217","ARAUCA"
"199","MAGDALENA"
"199","MAGDALENA"
"195","SANTANDER"
"195","SANTANDER"
"190","SUCRE"
"190","SUCRE"
"177","NARIÑO"
"177","NARIÑO"
"265","ANTIOQUIA"
"265","ANTIOQUIA"
"210","BOGOTÁ"
"210","BOGOTÁ"
"268","CESAR"
"268","CESAR"
"174","VALLE"
"174","VALLE"
"266","VALLE"
"266","VALLE"
"184","CORDOBA"
"184","CORDOBA"
"281","ANTIOQUIA"
"281","ANTIOQUIA"
"323","ATLANTICO"
"323","ATLANTICO"
"265","NORTE SANTANDER"
"265","NORTE SANTANDER"
"296","RISARALDA"
"296","RISARALDA"
"199","CAQUETA"
"199","CAQUETA"
"341","ANTIOQUIA"
"341","ANTIOQUIA"
"280","HUILA"
"280","HUILA"
"319","BOGOTÁ"
"319","BOGOTÁ"
"276","CUNDINAMARCA"
"276","CUNDINAMARCA"
"189","NORTE SANTANDER"
"189","NORTE SANTANDER"
"225","CESAR"
"225","CESAR"
"251","META"
"251","META"
"346","QUINDIO"
"346","QUINDIO"
"264","VALLE"
"320","BOGOTÁ"
"320","BOGOTÁ"
"233","CUNDINAMARCA"
"233","CUNDINAMARCA"
"255","BOLIVAR"
"255","BOLIVAR"
"282","NORTE SANTANDER"
"282","NORTE SANTANDER"
"208","HUILA"
"208","HUILA"
"169","CAUCA"
"169","CAUCA"
"227","ATLANTICO"
"227","ATLANTICO"
"180","CUNDINAMARCA"
"180","CUNDINAMARCA"
"173","CUNDINAMARCA"
"173","CUNDINAMARCA"
"327","NARIÑO"
"327","NARIÑO"
"229","MAGDALENA"
"229","MAGDALENA"
"223","ANTIOQUIA"
"223","ANTIOQUIA"
"295","META"
"295","META"
"278","NARIÑO"
"278","NARIÑO"
"288","CORDOBA"
"288","CORDOBA"
"270","CUNDINAMARCA"
"270","CUNDINAMARCA"
"212","BOLIVAR"
"212","BOLIVAR"
"255","BOGOTÁ"
"255","BOGOTÁ"
"322","CAUCA"
"322","CAUCA"
